date,event,impact
2024-01-03,EIA Weekly Petroleum Status Report,high
2024-01-10,EIA Weekly Petroleum Status Report,high
2024-01-18,EIA Weekly Petroleum Status Report,high
2024-01-24,EIA Weekly Petroleum Status Report,high
2024-01-31,EIA Weekly Petroleum Status Report,high
